OBJET,CORRESPONDANCE,DESCRIPTION
v9358563,fullScreenCounterCheckbox,Checkbox pour compteur plein écran
v9338263,toggleFullScreenCounterFunction,Fonction pour basculer le compteur plein écran
v9454763,fullScreenCounterLabel,Label pour compteur plein écran
v9396663,lastMinuteCounterCheckbox,Checkbox pour compteur dernière minute
v9358663,toggleLastMinuteCounterFunction,Fonction pour basculer le compteur dernière minute
v9382463,lastMinuteCounterLabel,Label pour compteur dernière minute
v9382563,arabicDigitsCheckbox,Checkbox pour chiffres arabes
v9338363,toggleArabicDigitsFunction,Fonction pour basculer les chiffres arabes
v9358763,arabicDigitsLabel,Label pour chiffres arabes
v9467163,hideIqamatCheckbox,Checkbox pour cacher les iqamas (mode maison)
v9370363,toggleHomeModeFunction,Fonction pour basculer le mode maison
v9396763,hideIqamatLabel,Label pour cacher iqamas
v9370463,middleVrNamesCheckbox,Checkbox pour noms VR au milieu
v9358863,middleVrNamesLabel,Label pour noms VR au milieu
v9454863,showAzanScreenCheckbox,Checkbox pour afficher l'écran d'adhan
v9370563,toggleAzanScreenFunction,Fonction pour basculer l'écran d'adhan
v9358963,showAzanScreenLabel,Label pour afficher écran d'adhan
v9439663,showIqamaScreenCheckbox,Checkbox pour afficher l'écran d'iqama
v9359063,toggleIqamaScreenFunction,Fonction pour basculer l'écran d'iqama
v9396863,showIqamaScreenLabel,Label pour afficher écran d'iqama
v9396963,dateUpRightHrCheckbox,Checkbox pour date en haut à droite (HR)
v9382663,dateUpRightHrLabel,Label pour date en haut à droite
v9439763,verifyInternetCheckbox,Checkbox pour vérifier la connexion Internet
v9349663,toggleVerifyInternetFunction,Fonction pour basculer la vérification Internet
v9439863,verifyInternetLabel,Label pour vérifier Internet
v9359163,timesBgShadowsCheckbox,Checkbox pour ombres des arrière-plans des horaires
v9338463,toggleTimesBgShadowsFunction,Fonction pour basculer les ombres
v9359263,timesBgShadowsLabel,Label pour ombres des arrière-plans
v9397063,semiTransparentBgsCheckbox,Checkbox pour arrière-plans semi-transparents
v9359363,toggleSemiTransparentBgsFunction,Fonction pour basculer la semi-transparence
v9349763,semiTransparentBgsLabel,Label pour arrière-plans semi-transparents
v9397163,counterColorAlertCheckbox,Checkbox pour alerte couleur du compteur
v9349863,toggleCounterColorAlertFunction,Fonction pour basculer l'alerte couleur
v9343663,counterColorAlertLabel,Label pour alerte couleur compteur
v9411363,bigNextPrayCounterCheckbox,Checkbox pour grand compteur prochaine prière
v9370663,bigNextPrayCounterLabel,Label pour grand compteur
v9411463,alertLastMinuteCheckbox,Checkbox pour alerte dernière minute
v9334763,toggleAlertLastMinuteFunction,Fonction pour basculer l'alerte dernière minute
v9338563,alertLastMinuteLabel,Label pour alerte dernière minute
v9397263,closeMobileAlertButton,Bouton pour éditer le message d'alerte mobile
v9382763,editMobileAlertFunction,Fonction pour éditer le message d'alerte mobile
v9397363,iqamaHadithCheckbox,Checkbox pour hadith pendant iqama
v9359463,toggleIqamaHadithFunction,Fonction pour basculer le hadith iqama
v9397463,iqamaHadithLabel,Label pour hadith iqama
v9467263,eidFitrCheckbox,Checkbox pour activer l'Aïd al-Fitr
v9359563,toggleEidFitrFunction,Fonction pour basculer l'Aïd al-Fitr
v9382863,eidFitrLabel,Label pour Aïd al-Fitr
v9454963,eidFitrTimeButton,Bouton pour éditer l'heure de l'Aïd al-Fitr
v9397563,editEidFitrTimeFunction,Fonction pour éditer l'heure de l'Aïd al-Fitr
v9467363,eidAdhaCheckbox,Checkbox pour activer l'Aïd al-Adha
v9359663,toggleEidAdhaFunction,Fonction pour basculer l'Aïd al-Adha
v9382963,eidAdhaLabel,Label pour Aïd al-Adha
v9455063,eidAdhaTimeButton,Bouton pour éditer l'heure de l'Aïd al-Adha
v9397663,editEidAdhaTimeFunction,Fonction pour éditer l'heure de l'Aïd al-Adha
v9411563,azanIqamaByVoiceCheckbox,Checkbox pour adhan/iqama par voix
v9334863,toggleAzanVoiceFunction,Fonction pour basculer adhan/iqama vocal
v9439963,azanIqamaByVoiceLabel,Label pour adhan/iqama vocal
v9425363,shortAzanCheckbox,Checkbox pour adhan court
v9338663,toggleShortAzanFunction,Fonction pour basculer l'adhan court
v9411663,shortAzanLabel,Label pour adhan court
v9411763,shortIqamaCheckbox,Checkbox pour iqama court
v9334963,toggleShortIqamaFunction,Fonction pour basculer l'iqama court
v9397763,shortIqamaLabel,Label pour iqama court
v9467463,fontsSettingsTitle,Titre de la section Polices
v9467563,fontsTable,Tableau des polices
v9349963,hiddenFontColumnClass,Classe pour colonne cachée (polices)
v9411863,changeScreenFontFunction,Fonction pour changer la police d'écran
v9397863,changeTimesFontFunction,Fonction pour changer la police des horaires
v9383063,changeClockFontFunction,Fonction pour changer la police de l'horloge
v9397963,changeAzkarFontFunction,Fonction pour changer la police des adhkar
v9411963,importExportContent,Conteneur du contenu Importer/Exporter
v9412063,exportInfoText,Texte d'info pour l'export
v9425463,exportSettingsButton,Bouton Exporter les paramètres
v9343763,exportSettingsFunction,Fonction pour exporter les paramètres
v9412163,exportStatusDiv,Div de statut de l'export
v9510563,textRightClass,Classe pour texte aligné à droite
v9494263,textLeftClass,Classe pour texte aligné à gauche
v9359763,importByIdInfo,Texte d'info pour l'import par ID
v9330363,importByIdFunction,Fonction pour importer par ID
v9338763,importByIdStatusDiv,Div de statut de l'import par ID
v9359863,importLocalFileInfo,Texte d'info pour l'import de fichier local
v9425563,importFileInput,Input pour sélectionner un fichier à importer
v9329463,importLocalFileFunction,Fonction pour importer un fichier local
v9327963,importLocalStatusDiv,Div de statut de l'import local
v9370763,themesSectionTitle,Titre de la section Thèmes
v9467663,themesInfoText,Texte d'information sur les thèmes
v9455163,currentThemeDisplay,Affichage du thème actuel
v9350063,themeTypeNoChangeLabel,Label pour type de thème "Aucun changement"
v9412263,setThemeTypeFunction,Fonction pour définir le type de thème
v9338863,themeTypeBySalatLabel,Label pour thème par prière
v9350263,themeTypeByDayLabel,Label pour thème par jour
v9335063,themeTypeRandomDailyLabel,Label pour thème aléatoire quotidien
v9383163,themeRandomListSpanElement,Span pour la liste des thèmes aléatoires
v9370863,editThemeRandomListFunction,Fonction pour éditer la liste des thèmes aléatoires
v9467763,themesBySalatTable,Tableau des thèmes par prière
v9350163,editThemeForSalatFunction,Fonction pour éditer le thème d'une prière
v9467863,themesByDayTable,Tableau des thèmes par jour
v9425663,editThemeForDayFunction,Fonction pour éditer le thème d'un jour
v9440063,azkarSettingsContent,Conteneur du contenu des paramètres Adhkar
v9412363,azkarActiveCheckbox,Checkbox pour activer les adhkar
v9343863,toggleAzkarActiveFunction,Fonction pour basculer l'activation des adhkar
v9455263,azkarActiveLabel,Label pour activer les adhkar
v9343963,repeatAzkarOnceCheckbox,Checkbox pour répéter les adhkar une fois
v9328063,toggleRepeatAzkarFunction,Fonction pour basculer la répétition des adhkar
v9440163,repeatAzkarLabel,Label pour répéter les adhkar
v9359963,azkar5minPictureCheckbox,Checkbox pour image 5min adhkar
v9328163,toggleAzkar5minPictureFunction,Fonction pour basculer l'image 5min adhkar
v9455363,azkar5minPictureLabel,Label pour image 5min adhkar
v9383263,azkarBgWhiteCheckbox,Checkbox pour fond blanc adhkar
v9350363,toggleAzkarBgWhiteFunction,Fonction pour basculer le fond blanc adhkar
v9383363,azkarBgWhiteLabel,Label pour fond blanc adhkar
v9370963,azkarSabahCheckbox,Checkbox pour adhkar du matin
v9371063,toggleAzkarSabahFunction,Fonction pour basculer les adhkar du matin
v9398063,azkarSabahLabel,Label pour adhkar du matin
v9371163,azkarAsrCheckbox,Checkbox pour adhkar de Asr
v9371263,toggleAzkarAsrFunction,Fonction pour basculer les adhkar de Asr
v9425763,azkarAsrLabel,Label pour adhkar de Asr
v9371363,azkarMaghribCheckbox,Checkbox pour adhkar de Maghrib
v9371463,toggleAzkarMaghribFunction,Fonction pour basculer les adhkar de Maghrib
v9383463,azkarMaghribLabel,Label pour adhkar de Maghrib
v9371563,azkarIshaCheckbox,Checkbox pour adhkar de Isha
v9371663,toggleAzkarIshaFunction,Fonction pour basculer les adhkar de Isha
v9412463,azkarIshaLabel,Label pour adhkar de Isha
v9425863,slidesContentContainer,Conteneur du contenu des slides
v9398163,slidesActiveCheckbox,Checkbox pour activer les slides
v9338963,toggleSlidesActiveFunction,Fonction pour basculer l'activation des slides
v9440263,slidesActiveLabel,Label pour activer les slides
v9383563,slidesRandomCheckbox,Checkbox pour slides aléatoires
v9350463,toggleSlidesRandomFunction,Fonction pour basculer l'ordre aléatoire des slides
v9371763,slidesRandomLabel,Label pour slides aléatoires
v9344063,editSlidesViewTimeFunction,Fonction pour éditer le temps d'affichage des slides
v9360063,slidesViewTimeLabel,Label pour temps d'affichage slides
v9467963,whiteTextClass,Classe pour texte blanc
v9371863,slidesViewTimeValue,Affichage de la valeur du temps d'affichage slides
v9344163,editTawkitViewTimeFunction,Fonction pour éditer le temps d'affichage Tawkit
v9360163,tawkitViewTimeLabel,Label pour temps d'affichage Tawkit
v9371963,tawkitViewTimeValue,Affichage de la valeur du temps d'affichage Tawkit
v9468063,addSlideButtonClass,Classe pour le bouton Ajouter Slide
v9440363,addSlideFunction,Fonction pour ajouter une slide
v9425963,slidesTable,Tableau des slides
v9383663,remindersContentContainer,Conteneur du contenu des rappels
v9383763,remindersActiveCheckbox,Checkbox pour activer les rappels
v9339063,toggleRemindersActiveFunction,Fonction pour basculer l'activation des rappels
v9426063,remindersActiveLabel,Label pour activer les rappels
v9372063,testReminderSoundFunction,Fonction pour tester le son des rappels
v9398263,addReminderFunction,Fonction pour ajouter un rappel
v9383863,remindersTable,Tableau des rappels
v9360263,adjustmentsContentContainer,Conteneur du contenu des ajustements
v9360363,ramadanIsha30minCheckbox,Checkbox pour retarder Isha de 30min pendant Ramadan
v9330463,toggleRamadanIshaFunction,Fonction pour basculer le retard d'Isha
v9440463,ramadanIshaLabel,Label pour retard Isha Ramadan
v9398363,summerTimeCheckbox,Checkbox pour heure d'été
v9360463,toggleSummerTimeFunction,Fonction pour basculer l'heure d'été
v9412563,summerTimeLabel,Label pour heure d'été
v9372163,forceOneHourMoreCheckbox,Checkbox pour forcer +1h
v9383963,toggleForceOneHourMoreFunction,Fonction pour basculer le forçage +1h
v9426163,forceOneHourMoreLabel,Label forcer +1h
v9372263,forceOneHourLessCheckbox,Checkbox pour forcer -1h
v9384063,toggleForceOneHourLessFunction,Fonction pour basculer le forçage -1h
v9426263,forceOneHourLessLabel,Label forcer -1h
v9330563,prayersAdjustmentsTitle,Titre de la section Ajustements des prières
jcD8AAD8B7D8A8D,prayerNameFajrAdjust,Nom de Fajr dans ajustements
jc98AD98220D985,prayerNameShrqAdjust,Nom de Shuruq dans ajustements
jcD8ACD8A7D986D,prayerNameDohrAdjust,Nom de Dohr dans ajustements
jc98A3C62723E77,prayerNameAsrAdjust,Nom de Asr dans ajustements
jc77772E7461776,prayerNameMgrbAdjust,Nom de Maghrib dans ajustements
jcB69742E6E6574,prayerNameIshaAdjust,Nom de Isha dans ajustements
v9440563,athanMinutesFajrValue,Affichage des minutes d'athan pour Fajr
v9440663,athanMinutesShrqValue,Affichage des minutes d'athan pour Shuruq
v9440763,athanMinutesDohrValue,Affichage des minutes d'athan pour Dohr
v9455463,athanMinutesAsrValue,Affichage des minutes d'athan pour Asr
v9398463,athanMinutesMgrbValue,Affichage des minutes d'athan pour Maghrib
v9440863,athanMinutesIshaValue,Affichage des minutes d'athan pour Isha
v9412663,adjustButtonClass,Classe pour les boutons d'ajustement
v9426363,decrementAthanMinutesFunction,Fonction pour diminuer les minutes d'athan
v9426463,incrementAthanMinutesFunction,Fonction pour augmenter les minutes d'athan
v9335163,iqamaAdjustmentsTitle,Titre de la section Ajustements des iqamas
v9398563,iqamaAdjustmentsTable,Tableau des ajustements d'iqama
v9455563,iqamaFajrLabel,Label iqama Fajr
v9426563,iqamaFajrValue,Affichage de la valeur iqama Fajr
v9412763,decrementIqamaMinutesFunction,Fonction pour diminuer les minutes d'iqama
v9412863,incrementIqamaMinutesFunction,Fonction pour augmenter les minutes d'iqama
v9494463,fixedIqamaFajrButton,Bouton pour iqama fixe Fajr
v9426663,fixedIqamaButtonClass,Classe pour bouton iqama fixe
v9426763,editFixedIqamaFajrFunction,Fonction pour éditer l'iqama fixe de Fajr
v9455663,iqamaDohaLabel,Label iqama Doha
v9426863,iqamaDohaValue,Affichage de la valeur iqama Doha
v9455763,iqamaDohrLabel,Label iqama Dohr
v9426963,iqamaDohrValue,Affichage de la valeur iqama Dohr
v9494563,fixedIqamaDohrButton,Bouton pour iqama fixe Dohr
v9427063,editFixedIqamaDohrFunction,Fonction pour éditer l'iqama fixe de Dohr
v9455863,iqamaAsrLabel,Label iqama Asr
v9440963,iqamaAsrValue,Affichage de la valeur iqama Asr
v9506663,fixedIqamaAsrButton,Bouton pour iqama fixe Asr
v9441063,editFixedIqamaAsrFunction,Fonction pour éditer l'iqama fixe de Asr
v9455963,iqamaMgrbLabel,Label iqama Maghrib
v9384163,iqamaMgrbValue,Affichage de la valeur iqama Maghrib
v9456063,iqamaIshaLabel,Label iqama Isha
v9427163,iqamaIshaValue,Affichage de la valeur iqama Isha
v9494663,fixedIqamaIshaButton,Bouton pour iqama fixe Isha
v9427263,editFixedIqamaIshaFunction,Fonction pour éditer l'iqama fixe de Isha
v9412963,jomoaSettingsTitle,Titre de la section Paramètres Jomoaa
v9483163,jomoaFixedTimeButton,Bouton pour l'heure fixe de Jomoaa
v9494763,fixedTimeButtonClass,Classe pour bouton d'heure fixe
v9413063,editJomoaFixedTimeFunction,Fonction pour éditer l'heure fixe de Jomoaa
v9384263,jomoaOnHrCheckbox,Checkbox pour afficher Jomoaa sur écran HR
v9413163,jomoaOnHrLabel,Label pour afficher Jomoaa sur écran HR
v9427363,jomoaAzanCheckbox,Checkbox pour activer l'adhan de Jomoaa
v9339163,toggleJomoaAzanFunction,Fonction pour basculer l'adhan de Jomoaa
v9350563,jomoaAzanLabel,Label pour adhan de Jomoaa
v9372363,primaryAzanSettingsTitle,Titre paramètres Adhan principal
v9413263,primaryAzanLabel,Label pour l'adhan principal
v9339263,primaryAzanValue,Affichage de la valeur de l'adhan principal
v9372463,editPrimaryAzanFunction,Fonction pour éditer l'adhan principal
v9384463,dohrXminAsrLabel,Label pour Dohr X minutes avant Asr
v9344263,dohrXminAsrValue,Affichage de la valeur Dohr Xmin Asr
v9384363,editDohrXminAsrFunction,Fonction pour éditer Dohr Xmin Asr
v9427463,blackScreenContentContainer,Conteneur du contenu Écran noir
v9427563,blackScreenInPrayingCheckbox,Checkbox pour activer l'écran noir pendant la prière
v9384563,toggleBlackScreenInPrayingFunction,Fonction pour basculer l'écran noir
v9494863,blackScreenInPrayingLabel,Label pour écran noir pendant la prière
v9350663,blackScreenShowClockCheckbox,Checkbox pour afficher l'horloge sur écran noir
v9327363,toggleBlackScreenClockFunction,Fonction pour basculer l'horloge écran noir
v9372563,blackScreenShowClockLabel,Label pour horloge sur écran noir
v9360563,blackScreenShowDateCheckbox,Checkbox pour afficher la date sur écran noir
v9328263,toggleBlackScreenDateFunction,Fonction pour basculer la date écran noir
v9384663,blackScreenShowDateLabel,Label pour date sur écran noir
v9350763,dohaScreenSaverCheckbox,Checkbox pour économiseur d'écran Doha
v9360663,toggleDohaScreenSaverFunction,Fonction pour basculer l'économiseur Doha
v9494963,dohaScreenSaverLabel,Label pour économiseur Doha
v9350863,ishaScreenSaverCheckbox,Checkbox pour économiseur d'écran Isha
v9360763,toggleIshaScreenSaverFunction,Fonction pour basculer l'économiseur Isha
v9495063,ishaScreenSaverLabel,Label pour économiseur Isha
v9495163,jomoaDimmerTable,Tableau du dimmer Jomoaa
v9483263,jomoaLabel,Label Jomoaa
v9495263,dimmerBeforeLabel,Label Dimmer avant
v9332663,dimmerBeforeValue,Affichage de la valeur dimmer avant
v9344363,decrementDimmerBeforeFunction,Fonction pour diminuer le dimmer avant
v9350963,incrementDimmerBeforeFunction,Fonction pour augmenter le dimmer avant
v9495363,dimmerAfterLabel,Label Dimmer après
v9335263,dimmerAfterValue,Affichage de la valeur dimmer après
v9351063,decrementDimmerAfterFunction,Fonction pour diminuer le dimmer après
v9360863,incrementDimmerAfterFunction,Fonction pour augmenter le dimmer après
v9495463,prayerDurationsTitle,Titre Durées des prières
v9495563,prayerDurationTableClass,Classe pour tableau des durées de prière
v9483363,durationFajrLabel,Label durée Fajr
v9384763,durationFajrValue,Affichage de la valeur durée Fajr
v9372663,decrementPrayerDurationFunction,Fonction pour diminuer la durée de prière
v9372763,incrementPrayerDurationFunction,Fonction pour augmenter la durée de prière
v9483463,durationDohrLabel,Label durée Dohr
v9384863,durationDohrValue,Affichage de la valeur durée Dohr
v9495663,durationAsrLabel,Label durée Asr
v9398663,durationAsrValue,Affichage de la valeur durée Asr
v9441163,durationMgrbLabel,Label durée Maghrib
v9351163,durationMgrbValue,Affichage de la valeur durée Maghrib
v9483563,durationIshaLabel,Label durée Isha
v9384963,durationIshaValue,Affichage de la valeur durée Isha
v9506763,locationSectionTitle,Titre de la section Localisation
v9398763,locationContentContainer,Conteneur du contenu Localisation
v9495763,useWcsvCheckbox,Checkbox pour utiliser le fichier WCSV
v9385063,toggleUseWcsvFunction,Fonction pour basculer l'utilisation de WCSV
v9385163,useWcsvLabel,Label pour utiliser WCSV
v9441263,locationSettingsClass,Classe pour les paramètres de localisation
v9456163,citySelectionTitle,Titre de la sélection de ville
v9385263,selectCountryButton,Bouton pour sélectionner le pays
v9344463,openCountryListFunction,Fonction pour ouvrir la liste des pays
v9427663,selectCityButton,Bouton pour sélectionner la ville
v9372863,openCityListFunction,Fonction pour ouvrir la liste des villes
v9344563,useImportedTimesCheckbox,Checkbox pour utiliser les horaires importés
v9332763,toggleUseImportedTimesFunction,Fonction pour basculer l'utilisation des horaires importés
v9344663,useImportedTimesLabel,Label pour utiliser les horaires importés
v9456263,importedTimesInfoTitle,Titre info horaires importés
v9456363,importedTimesInfoText,Texte info horaires importés
v9372963,personalFilesContentContainer,Conteneur du contenu Fichiers personnels
v9385363,userFilesActiveCheckbox,Checkbox pour activer les fichiers utilisateur
v9351263,toggleUserFilesFunction,Fonction pour basculer l'activation des fichiers utilisateur
v9344763,userFilesActiveLabel,Label pour activer les fichiers utilisateur
v9373063,userFilesInfoText,Texte d'information fichiers utilisateur
v9344863,userFilesUploadSection,Section d'upload des fichiers utilisateur
v9385463,fileInputElement,Input pour sélectionner un fichier
v9385563,uploadInfoText,Texte d'info upload
v9398863,storageInfoDisplay,Affichage des infos de stockage
v9441363,uploadTableClass,Classe pour table d'upload
v9441463,uploadButtonClass,Classe pour bouton upload
v9360963,uploadImageFunction,Fonction pour uploader une image
v9373163,bottomMessagesContent,Conteneur du contenu Messages du bas
v9398963,bottomMessagesTitle,Titre de la section Messages du bas
v9344963,bottomMessagesInfoText,Texte d'information messages du bas
v9373263,marqueeActiveCheckbox,Checkbox pour activer le défilement
v9361163,marqueeActiveLabel,Label pour activer le défilement
v9351363,addMessageFunction,Fonction pour ajouter un message
v9456463,addMessageButtonText,Texte du bouton Ajouter message
v9361263,messagesHelpText,Texte d'aide pour les messages
v9361363,ramadanDaysLeftCheckbox,Checkbox pour afficher les jours restants du Ramadan
v9345063,toggleRamadanDaysLeftFunction,Fonction pour basculer l'affichage jours Ramadan
v9361463,ramadanDaysLeftLabel,Label pour afficher jours Ramadan
v9483663,bottomMessagesTable,Tableau des messages du bas
v9456563,shortcutsContentContainer,Conteneur du contenu Raccourcis
v9373363,shortcutsTitle,Titre de la section Raccourcis
v9385663,shortcutsListContainer,Conteneur de la liste des raccourcis
v9441563,meteoContentContainer,Conteneur du contenu Météo
v9427763,meteoActiveCheckbox,Checkbox pour activer la météo
v9373463,toggleMeteoActiveFunction,Fonction pour basculer l'activation météo
v9483763,meteoActiveLabel,Label pour activer la météo
v9441663,meteoWithPrayersCheckbox,Checkbox pour afficher météo avec les prières
v9329563,toggleMeteoWithPrayersFunction,Fonction pour basculer météo avec prières
v9427863,meteoWithPrayersLabel,Label pour météo avec prières
v9361563,getGpsPositionFunction,Fonction pour obtenir la position GPS
v9399063,setGpsManuallyFunction,Fonction pour définir la position GPS manuellement
v9483863,gpsPositionDisplay,Affichage de la position GPS
v9427963,tvPointerImage,Image du pointeur TV
v9468163,inputDialogContainer,Conteneur de la boîte de dialogue de saisie
v9441763,inputDialogTitle,Titre de la boîte de dialogue de saisie
v9441863,inputDialogTextField,Champ de saisie de la boîte de dialogue
v9456663,inputDialogButtonClass,Classe pour les boutons de la boîte de dialogue
v9373563,cancelInputDialogFunction,Fonction pour annuler la boîte de dialogue
v9428063,confirmInputDialogFunction,Fonction pour confirmer la boîte de dialogue
v9413363,countryListModalId,ID de la modale de liste des pays
v9385763,countryListContent,Conteneur du contenu de la liste des pays
v9456763,cityListModalId,ID de la modale de liste des villes
v9428163,cityListContent,Conteneur du contenu de la liste des villes
v9373663,alertToastDiv,Div pour les alertes toast
v9483963,sleepFunction,Fonction utilitaire pour pause (sleep)
v9330663,useAltFontFlag,Drapeau pour utiliser une police alternative
v9329663,currentLanguageCode,Code de la langue courante
v9441963,altFontName,Nom de la police alternative
v9484063,rootElement,Élément racine (:root)
v9332863,setupAyatsFontFunction,Fonction pour configurer la police des versets
v9373763,startClockIntervalFunction,Fonction pour démarrer l'intervalle de l'horloge
v9442063,clockTickFunction,Fonction exécutée à chaque tick de l'horloge
v9399163,tvPointerElement,Élément du pointeur TV
v9442163,verticalMainContainer,Conteneur principal vertical (ID)
v9442263,horizontalMainContainer,Conteneur principal horizontal (ID)
v9442363,horizontalBackground,Arrière-plan horizontal (ID)
v9442463,verticalBackground,Arrière-plan vertical (ID)
v9428263,menuSections,Conteneur des sections du menu (ID)
v9385863,ayaDisplayVerticalElement,Élément d'affichage des versets vertical
v9428363,ayaDisplayHorizontalElement,Élément d'affichage des versets horizontal
v9413463,mosqueNameVerticalElement,Élément nom de mosquée vertical
v9413563,mosqueNameHorizontalElement,Élément nom de mosquée horizontal
v9361663,dateDisplayHorizontalElement,Élément affichage date horizontal
v9399263,hadithDisplayVerticalElement,Élément affichage hadith vertical
v9399363,marqueeContainerVerticalElement,Conteneur marquee vertical
v9399463,staticMessageVerticalElement,Message statique vertical
v9399563,hadithDisplayHorizontalElement,Élément affichage hadith horizontal
v9399663,marqueeContainerHorizontalElement,Conteneur marquee horizontal
v9399763,staticMessageHorizontalElement,Message statique horizontal
v9442563,blackScreenVerticalElement,Écran noir vertical
v9442663,blackScreenHorizontalElement,Écran noir horizontal
v9373863,fullScreenCounterVerticalElement,Compteur plein écran vertical
v9373963,fullScreenCounterHorizontalElement,Compteur plein écran horizontal
v9345163,fullScreenBgHorizontal,Arrière-plan plein écran horizontal
v9385963,fullScreenTimeVertical,Heure plein écran vertical
v9413663,fullScreenLabelVertical,Label plein écran vertical
v9413763,fullScreenLabelHorizontal,Label plein écran horizontal
v9386063,fullScreenTimeHorizontal,Heure plein écran horizontal
v9386163,fullScreenMiniClockHorizontal,Mini horloge plein écran horizontal
v9413863,secondCounterVerticalElement,Compteur secondes vertical
v9413963,secondCounterHorizontalElement,Compteur secondes horizontal
v9468363,prayerRowFajrVerticalElement,Ligne Fajr vertical (ID)
v9468463,prayerRowShrqVerticalElement,Ligne Shuruq vertical (ID)
v9468563,prayerRowDohrVerticalElement,Ligne Dohr vertical (ID)
v9468663,prayerRowAsrVerticalElement,Ligne Asr vertical (ID)
v9468763,prayerRowMgrbVerticalElement,Ligne Maghrib vertical (ID)
v9468863,prayerRowIshaVerticalElement,Ligne Isha vertical (ID)
v9428463,prayerCellFajrHorizontalElement,Cellule Fajr horizontal (ID)
v9428563,prayerCellShrqHorizontalElement,Cellule Shuruq horizontal (ID)
v9428663,prayerCellDohrHorizontalElement,Cellule Dohr horizontal (ID)
v9428763,prayerCellAsrHorizontalElement,Cellule Asr horizontal (ID)
v9428863,prayerCellMgrbHorizontalElement,Cellule Maghrib horizontal (ID)
v9428963,prayerCellIshaHorizontalElement,Cellule Isha horizontal (ID)
v9386263,azanPopupVerticalElement,Popup adhan vertical (ID)
v9351463,azanPopupBgVertical,Arrière-plan popup adhan vertical
v9386363,azanPopupHorizontalElement,Popup adhan horizontal (ID)
v9351563,azanPopupBgHorizontal,Arrière-plan popup adhan horizontal
v9386463,iqamaPopupVerticalElement,Popup iqama vertical (ID)
v9386563,iqamaPopupHorizontalElement,Popup iqama horizontal (ID)
v9351663,iqamaPopupBgVertical,Arrière-plan popup iqama vertical
v9351763,iqamaPopupBgHorizontal,Arrière-plan popup iqama horizontal
v9399863,dohaPopupVerticalElement,Popup Doha vertical (ID)
v9399963,dohaPopupHorizontalElement,Popup Doha horizontal (ID)
v9361763,dohaPopupBgVertical,Arrière-plan popup Doha vertical
v9361863,dohaPopupBgHorizontal,Arrière-plan popup Doha horizontal
v9442763,azkarContainerVerticalElement,Conteneur adhkar vertical (ID)
v9442863,azkarContainerHorizontalElement,Conteneur adhkar horizontal (ID)
v9429063,slidesContainerVerticalElement,Conteneur slides vertical (ID)
v9429163,slidesContainerHorizontalElement,Conteneur slides horizontal (ID)
v9414063,noMobileImageVerticalElement,Image no-mobile vertical (ID)
v9414163,noMobileImageHorizontalElement,Image no-mobile horizontal (ID)
v9374063,prayerTimesContainerHorizontalElement,Conteneur horaires horizontal (ID)
v9386663,prayerTimesTableHorizontalElement,Tableau horaires horizontal (ID)
v9456863,iqamaCounterCircleHorizontalElement,Cercle compteur iqama horizontal
v9456963,iqamaCounterCircleVerticalElement,Cercle compteur iqama vertical
v9386763,azanVoiceCheckboxElement,Checkbox adhan vocal (ID)
v9400063,shortAzanCheckboxElement,Checkbox adhan court (ID)
v9386863,shortIqamaCheckboxElement,Checkbox iqama court (ID)
v9345263,ramadanIshaCheckboxElement,Checkbox Isha Ramadan (ID)
v9386963,summerTimeCheckboxElement,Checkbox heure d'été (ID)
v9351863,forceOneHourMoreCheckboxElement,Checkbox forcer +1h (ID)
v9351963,forceOneHourLessCheckboxElement,Checkbox forcer -1h (ID)
v9429263,use24HoursCheckboxElement,Checkbox format 24h (ID)
v9400163,meteoActiveCheckboxElement,Checkbox météo active (ID)
v9345363,fullClockCheckboxElement,Checkbox horloge complète (ID)
v9400263,useWcsvCheckboxElement,Checkbox utiliser WCSV (ID)
v9361963,arabicDigitsCheckboxElement,Checkbox chiffres arabes (ID)
v9345463,fullIqamaTimesCheckboxElement,Checkbox heures iqama complètes (ID)
v9345563,iqamaCounterCheckboxElement,Checkbox compteur iqama (ID)
v9400363,blackScreenInPrayingCheckboxElement,Checkbox écran noir prière (ID)
v9374163,slidesActiveCheckboxElement,Checkbox slides actifs (ID)
v9362063,remindersActiveCheckboxElement,Checkbox rappels actifs (ID)
v9335363,ramadanDaysLeftCheckboxElement,Checkbox jours Ramadan (ID)
v9362163,slidesRandomCheckboxElement,Checkbox slides aléatoires (ID)
v9387063,azkarActiveCheckboxElement,Checkbox adhkar actifs (ID)
v9335463,repeatAzkarCheckboxElement,Checkbox répéter adhkar (ID)
v9345663,azkar5minPictureCheckboxElement,Checkbox image 5min adhkar (ID)
v9387163,messageDisplayVerticalElement,Élément message vertical
v9429363,messageDisplayHorizontalElement,Élément message horizontal
v9468963,mainMenuElement,Élément menu principal
v9387263,ayaContainerVertical,Conteneur verset vertical
v9387363,messageContainerVertical,Conteneur message vertical
v9429463,menuContentElement,Élément contenu menu
v9387463,ayaContainerHorizontal,Conteneur verset horizontal
v9362263,prayerTimesContainerVerticalElement,Conteneur horaires vertical (ID)
v9387563,fullClockTimeHorizontalElement,Heure horloge complète horizontal
v9387663,fullClockTimeVerticalElement,Heure horloge complète vertical
v9387763,miniClockTimeHorizontalElement,Heure mini horloge horizontal
